Package,post,N,A,Ce,Ca,I,D,MII,NC ,BCF , IC,AIC ,SAVI  ,PPI,APIUP,Package Name,PkgMod
org.eclipse.core.internal.boot,2,13,0.181818182,9,7,0.5625,0.255681818,0,0.555555556,0.945054945,0.992021277,0.538461538,0.052662722,0.142857143,0,org.eclipse.core.internal.boot,0.64492927
org.eclipse.core.internal.dtree,0,17,0.307692308,4,2,0.666666667,0.025641026,0.058823529,0.483870968,1,1,0.666666667,0,0,0.006578947,org.eclipse.core.internal.dtree,0.891214341
org.eclipse.core.internal.events,4,13,0.083333333,9,3,0.75,0.166666667,0,0.612903226,0.923076923,0.846153846,0.97606383,0.052662722,0,0,org.eclipse.core.internal.events,0.539545724
org.eclipse.core.internal.indexing,0,39,0.3,4,2,0.666666667,0.033333333,0,0.661417323,1,1,0.918918919,0.017685733,0.333333333,0,org.eclipse.core.internal.indexing,0.914290087
org.eclipse.core.internal.localstore,7,20,0.25,9,1,0.9,0.15,0,0.594827586,1,1,0.970744681,0.0345,0.055555556,0,org.eclipse.core.internal.localstore,0.734834957
org.eclipse.core.internal.plugins,5,20,0.111111111,12,4,0.75,0.138888889,0,0.804733728,1,0.333333333,0.968085106,0,0,0,org.eclipse.core.internal.plugins,0.602383209
org.eclipse.core.internal.properties,0,8,0.142857143,8,2,0.8,0.057142857,0,0.611111111,1,1,0.989361702,0.084375,0.076923077,0,org.eclipse.core.internal.properties,0.717157288
org.eclipse.core.internal.resources,10,61,0.150943396,17,4,0.80952381,0.039532794,0,0.720325203,0.999681021,0.877192982,0.890957447,0.011421661,0.2,0.055555556,org.eclipse.core.internal.resources,0.88214887
org.eclipse.core.internal.runtime,2,19,0,11,6,0.647058824,0.352941176,0,0.474137931,1,0.894736842,0.95212766,0,0.5,0,org.eclipse.core.internal.runtime,0.6614984
org.eclipse.core.internal.utils,0,12,0.090909091,9,9,0.5,0.409090909,0,0.443181818,1,1,0.25,0.060850694,0.037037037,0,org.eclipse.core.internal.utils,0.931506511
org.eclipse.core.internal.watson,0,16,0.6,6,3,0.666666667,0.266666667,0,0.514285714,1,1,0.986702128,0,0,0,org.eclipse.core.internal.watson,0.864480729
org.eclipse.core.launcher,0,2,0,7,0,0,1,0.833333333,1,1,1,0.3,0,0,,org.eclipse.core.launcher,1
org.eclipse.core.resources,7,31,14.5,8,142,0.053333333,13.55333333,0.473913043,0.010638298,0.7,0.333333333,0.742021277,0.022372529,0,0.00182226,org.eclipse.core.resources,0.765043004
org.eclipse.core.resources.ant,0,4,0,8,0,0,1,0.823529412,1,0.5,1,0.175,0.666666667,0,,org.eclipse.core.resources.ant,0.292893219
org.eclipse.core.resources.team,0,2,0,2,6,0.25,0.75,1.7,0,0,1,1,0.399602122,0,0.089285714,org.eclipse.core.resources.team,0.387627564
org.eclipse.core.runtime,0,31,1.818181818,9,206,0.041860465,0.860042283,0.275,0.15282392,0.932126697,0.869680851,0.642857143,0.02075915,0,0.007843137,org.eclipse.core.runtime,0.663565036
org.eclipse.core.runtime.model,1,13,0.181818182,6,8,0.428571429,0.38961039,0,0.104,0.947115385,0.973404255,0.076923077,0.052662722,0,0,org.eclipse.core.runtime.model,0.705372175
org.eclipse.debug.core,1,19,3.75,7,26,0.212121212,2.962121212,0.224489796,0.156028369,1,0.25,0.856382979,0.036288089,0.75,0.013809524,org.eclipse.debug.core,0.448242684
org.eclipse.debug.core.model,1,26,0,7,25,0.21875,0.78125,0.082352941,0.078947368,0.5,0.5,0.997340426,0,1,0.005598073,org.eclipse.debug.core.model,0.656779954
org.eclipse.debug.internal.core,3,15,0,11,3,0.785714286,0.214285714,0,0.793103448,1,0.866666667,0.978723404,0.045777778,0.6,0,org.eclipse.debug.internal.core,0.562996313
org.eclipse.debug.internal.ui,0,14,0.272727273,29,9,0.763157895,0.035885167,0,0.602564103,1,0.909090909,0.930851064,0,0,0,org.eclipse.debug.internal.ui,0.696954237
org.eclipse.debug.internal.ui.actions,4,56,0.272727273,29,3,0.90625,0.178977273,0,0.856,1,0.839285714,0.97606383,0.012436224,0.166666667,0,org.eclipse.debug.internal.ui.actions,0.604020203
org.eclipse.debug.internal.ui.launchConfigurations,6,10,0,34,4,0.894736842,0.105263158,0,0.58974359,1,0.8,0.970744681,0.068,0.583333333,0,org.eclipse.debug.internal.ui.launchConfigurations,0.717157288
org.eclipse.debug.internal.ui.preferences,1,16,0.142857143,23,5,0.821428571,0.035714286,0,0.76744186,1,0.466666667,0.981382979,0,0.5,0,org.eclipse.debug.internal.ui.preferences,0.779205978
org.eclipse.debug.internal.ui.views,0,4,3,5,4,0.555555556,2.555555556,0,0.166666667,0.666666667,0.666666667,0.973404255,0,0,0.25,org.eclipse.debug.internal.ui.views,0.315346803
org.eclipse.debug.internal.ui.views.breakpoints,0,4,0,13,0,0,1,1,1,0.5,1,0.1625,1,0,0,org.eclipse.debug.internal.ui.views.breakpoints,0.646446609
org.eclipse.debug.internal.ui.views.console,2,6,0,24,2,0.923076923,0.076923077,0,0.810810811,1,0.333333333,0.992021277,0,0.5,0,org.eclipse.debug.internal.ui.views.console,0.787867966
org.eclipse.debug.internal.ui.views.expression,0,3,0,11,0,0,1,1,1,0,1,0,0.8,0,0,org.eclipse.debug.internal.ui.views.expression,1
org.eclipse.debug.internal.ui.views.launch,7,4,0,22,0,0,1,0.962962963,1,0.25,1,0.1625,0.642857143,0,0,org.eclipse.debug.internal.ui.views.launch,1
org.eclipse.debug.internal.ui.views.variables,4,4,0,23,2,0.92,0.08,0,0.833333333,0.75,0.25,0.989361702,0,0.666666667,0,org.eclipse.debug.internal.ui.views.variables,1
org.eclipse.debug.ui,3,14,6,27,17,0.613636364,5.613636364,0.305084746,0.255319149,0.808823529,0.8,0.941489362,0,0,0.027777778,org.eclipse.debug.ui,0.680674972
org.eclipse.debug.ui.actions,0,2,0,2,0,0,1,0,1,1,0,0,1,0,0,org.eclipse.debug.ui.actions,0.292893219
org.eclipse.help,0,8,7,3,11,0.214285714,6.214285714,0.476190476,0,1,1,0.997340426,0.099801061,0,0.01814059,org.eclipse.help,0.723062796
org.eclipse.help.internal,0,3,0,10,7,0.588235294,0.411764706,0,0.636363636,1,0.666666667,0.973404255,0.225660674,0.142857143,0,org.eclipse.help.internal,0.322369073
org.eclipse.help.internal.context,1,10,0.111111111,12,3,0.8,0.088888889,0,0.769230769,1,1,0.984042553,0.068,0.75,0,org.eclipse.help.internal.context,0.622876383
org.eclipse.help.internal.protocols,0,13,0,12,0,0,1,1,1,1,1,0,0,0,0,org.eclipse.help.internal.protocols,0.469669914
org.eclipse.help.internal.proxy.protocol,0,1,0,5,5,0.5,0.5,0,0,1,1,0.986702128,0.5,0,0,org.eclipse.help.internal.proxy.protocol,0.292893219
org.eclipse.help.internal.proxy.protocol.help,0,1,0,3,0,0,1,0,1,1,0,0,0,0,0,org.eclipse.help.internal.proxy.protocol.help,1
org.eclipse.help.internal.proxy.protocol.links,0,1,0,3,0,0,1,0,1,1,0,0,0,0,0,org.eclipse.help.internal.proxy.protocol.links,1
org.eclipse.help.internal.proxy.protocol.livehelp,0,1,0,3,0,0,1,0,1,1,0,0,0,0,0,org.eclipse.help.internal.proxy.protocol.livehelp,1
org.eclipse.help.internal.proxy.protocol.platform,0,1,0,3,0,0,1,0,1,1,0,0,0,0,0,org.eclipse.help.internal.proxy.protocol.platform,1
org.eclipse.help.internal.proxy.protocol.search,0,1,0,3,0,0,1,0,1,1,0,0,0,0,0,org.eclipse.help.internal.proxy.protocol.search,1
org.eclipse.help.internal.search,1,17,0.133333333,10,2,0.833333333,0.033333333,0,0.746478873,1,1,0.984042553,0.044013841,0,0,org.eclipse.help.internal.search,0.787540854
org.eclipse.help.internal.toc,1,13,0.181818182,12,5,0.705882353,0.112299465,0,0.905660377,1,0.916666667,0.978723404,0.052662722,0.666666667,0,org.eclipse.help.internal.toc,0.580634087
org.eclipse.help.internal.util,0,11,0,8,7,0.533333333,0.466666667,0,0.435483871,1,0.909090909,0.938829787,0.061983471,0,0,org.eclipse.help.internal.util,0.528595479
org.eclipse.help.servlet,4,13,0.083333333,7,0,0,0.916666667,0.967741935,1,1,1,0.052662722,0,0,0,org.eclipse.help.servlet,0.734834957
org.eclipse.help.standalone,0,2,0,7,0,0,1,0.909090909,1,1,1,0.3,0.142857143,0,0,org.eclipse.help.standalone,0.292893219
org.eclipse.help.ui.browser,0,3,2,8,8,0.5,1.5,0,0.357142857,1,1,1,0.211111111,1,0.1,org.eclipse.help.ui.browser,0.29843924
org.eclipse.help.ui.internal,0,11,0.222222222,25,5,0.833333333,0.055555556,0,0.877777778,1,0.777777778,0.986702128,0.061983471,0,0,org.eclipse.help.ui.internal,0.614318784
org.eclipse.help.ui.internal.browser,0,3,0,12,3,0.8,0.2,0,0.625,1,0.666666667,0.992021277,0.261111111,0.5,0,org.eclipse.help.ui.internal.browser,0.387627564
org.eclipse.help.ui.internal.browser.aix,0,2,0,4,0,0,1,1,1,1,1,0,1,0,0,org.eclipse.help.ui.internal.browser.aix,0.292893219
org.eclipse.help.ui.internal.browser.hpux,0,2,0,4,0,0,1,1,1,1,1,0,1,0,0,org.eclipse.help.ui.internal.browser.hpux,0.292893219
org.eclipse.help.ui.internal.browser.linux,0,2,0,6,0,0,1,1,1,1,1,0,1,0,0,org.eclipse.help.ui.internal.browser.linux,0.292893219
org.eclipse.help.ui.internal.browser.solaris,0,2,0,4,0,0,1,1,1,1,1,0,1,0,0,org.eclipse.help.ui.internal.browser.solaris,0.292893219
org.eclipse.help.ui.internal.browser.win32,2,9,0.285714286,17,0,0,0.714285714,0.926829268,1,0.857142857,1,0.091358025,0.130434783,0,0,org.eclipse.help.ui.internal.browser.win32,0.575735931
org.eclipse.help.ui.internal.search,1,5,0,23,0,0,1,1,1,0.2,1,0.132,0.384615385,0,0,org.eclipse.help.ui.internal.search,0.528595479
org.eclipse.help.ui.internal.util,0,8,0,15,8,0.652173913,0.347826087,0,0.634146341,1,0.875,0.960106383,0.084375,0.125,0,org.eclipse.help.ui.internal.util,0.736476862
org.eclipse.jdi,0,3,0.5,5,5,0.5,0,0.333333333,0,1,1,0.984042553,0,0,0,org.eclipse.jdi,0.717157288
org.eclipse.jdi.hcr,0,6,5,3,3,0.5,4.5,0.4,0,0,1,0.994680851,0.133068081,0,0.055555556,org.eclipse.jdi.hcr,0.292893219
org.eclipse.jdi.internal,16,45,0.184210526,20,5,0.8,0.015789474,0,0.821285141,0.99954181,0.994680851,0.944148936,0.015160494,0.5,0,org.eclipse.jdi.internal,0.858578644
org.eclipse.jdi.internal.connect,4,11,0.375,10,2,0.833333333,0.208333333,0,0.75,1,1,0.97606383,0.061983471,0.2,0,org.eclipse.jdi.internal.connect,0.655286843
org.eclipse.jdi.internal.event,2,21,0.166666667,12,2,0.857142857,0.023809524,0.951612903,1,0.857142857,0.962765957,0.032879819,0.75,0,,org.eclipse.jdi.internal.event,0.513944448
org.eclipse.jdi.internal.jdwp,0,19,0.117647059,6,4,0.6,0.282352941,0.074074074,0.346938776,1,1,0.210526316,0,0,0,org.eclipse.jdi.internal.jdwp,0.334487735
org.eclipse.jdi.internal.request,1,18,0.125,10,2,0.833333333,0.041666667,0,0.904761905,1,0.888888889,0.992021277,0,1,0,org.eclipse.jdi.internal.request,0.547144477
org.eclipse.jdi.internal.spy,2,4,0,5,2,0.714285714,0.285714286,0,0.170212766,1,1,0.992021277,0.1625,0.081081081,0,org.eclipse.jdi.internal.spy,1
org.eclipse.jdt.core,6,54,3.909090909,18,90,0.166666667,3.075757576,0.34469697,0.242937853,0.932307692,0.785714286,0.380319149,0,0,0.001204508,org.eclipse.jdt.core,0.751900649
org.eclipse.jdt.core.compiler,0,4,3,2,33,0.057142857,2.057142857,0.315789474,0,0,1,0.938829787,0.195225464,0,0.1484375,org.eclipse.jdt.core.compiler,0.313985974
org.eclipse.jdt.core.dom,45,89,0.171052632,14,21,0.4,0.428947368,0.06,0.405319149,0.995660269,0.984042553,0.002659574,0.007839919,0.5,0.033834586,org.eclipse.jdt.core.dom,0.865570147
org.eclipse.jdt.core.eval,0,3,0,5,4,0.555555556,0.444444444,0,0,0,1,1,0,0,0.020833333,org.eclipse.jdt.core.eval,0.604715292
org.eclipse.jdt.core.jdom,0,12,5,4,1,0.8,4.8,0.434782609,0.07,1,1,0.5,0,0.222222222,0.015873016,org.eclipse.jdt.core.jdom,0.646446609
org.eclipse.jdt.core.search,3,6,5,11,29,0.275,4.275,0,0,1,1,0.933510638,0.094311818,0.529411765,0.037037037,org.eclipse.jdt.core.search,0.447608163
org.eclipse.jdt.core.util,0,25,7.333333333,1,1,0.5,6.833333333,0.995121951,1,1,0.997340426,0.02768,0,0,,org.eclipse.jdt.core.util,0.828580174
org.eclipse.jdt.debug.core,6,27,26,8,13,0.380952381,25.38095238,0.333333333,0.018518519,1,1,0.97606383,0.018155753,0.117647059,0.006205277,org.eclipse.jdt.debug.core,0.69047318
org.eclipse.jdt.debug.eval,0,7,6,6,7,0.461538462,5.461538462,0.333333333,0,1,1,0.992021277,0,0,0.038095238,org.eclipse.jdt.debug.eval,0.661184536
org.eclipse.jdt.debug.ui,1,2,1,8,6,0.571428571,0.571428571,1,1,1,0.992021277,0.311306366,0.571428571,0,,org.eclipse.jdt.debug.ui,0.472953723
org.eclipse.jdt.debug.ui.launchConfigurations,5,6,0,31,3,0.911764706,0.088235294,0,0.884615385,1,0,0.973404255,0.111111111,1,0,org.eclipse.jdt.debug.ui.launchConfigurations,0.76429774
org.eclipse.jdt.internal.codeassist,10,6,2,17,3,0.85,1.85,0,0.555555556,1,0,0.989361702,0.108200707,0.833333333,0.055555556,org.eclipse.jdt.internal.codeassist,1
org.eclipse.jdt.internal.codeassist.complete,4,27,0,10,1,0.909090909,0.090909091,0,0.970588235,1,0.296296296,0.930851064,0.0278738,0,0,org.eclipse.jdt.internal.codeassist.complete,0.354380765
org.eclipse.jdt.internal.codeassist.impl,2,3,2,11,3,0.785714286,1.785714286,0.055555556,0.24,0.5,0.666666667,0.986702128,0.164179192,0.375,0.027777778,org.eclipse.jdt.internal.codeassist.impl,0.528595479
org.eclipse.jdt.internal.codeassist.select,2,18,0,10,1,0.909090909,0.090909091,0,0.977777778,1,0.055555556,0.984042553,0.037654321,0,0,org.eclipse.jdt.internal.codeassist.select,0.347286048
org.eclipse.jdt.internal.compiler,5,16,0.777777778,12,23,0.342857143,0.120634921,0.005780347,0.237918216,0.932291667,0.777777778,0.875,0,0.92,0.094387755,org.eclipse.jdt.internal.compiler,0.520544969
org.eclipse.jdt.internal.compiler.ast,5,88,0.189189189,12,16,0.428571429,0.382239382,0.035714286,0.760124611,0.997443251,0.893617021,0.311170213,0.007270326,0.333333333,0.013888889,org.eclipse.jdt.internal.compiler.ast,0.732291668
org.eclipse.jdt.internal.compiler.batch,1,6,0,11,2,0.846153846,0.153846154,0.829268293,0.833333333,0.997340426,0.989361702,0.111111111,0.19047619,0,,org.eclipse.jdt.internal.compiler.batch,1
org.eclipse.jdt.internal.compiler.classfmt,1,7,0.4,9,10,0.473684211,0.126315789,0,0.528571429,1,1,0.95212766,0.103710575,0.466666667,0,org.eclipse.jdt.internal.compiler.classfmt,0.929289322
org.eclipse.jdt.internal.compiler.codegen,3,17,0.214285714,9,6,0.6,0.185714286,0,0.530751708,0.964285714,0.928571429,0.95212766,0,0.166666667,0,org.eclipse.jdt.internal.compiler.codegen,0.88214887
org.eclipse.jdt.internal.compiler.env,1,15,14,1,24,0.04,13.04,0.656716418,0,1,1,0.984042553,0.045777778,0,0.117307692,org.eclipse.jdt.internal.compiler.env,0.564747838
org.eclipse.jdt.internal.compiler.flow,1,11,0.1,7,4,0.636363636,0.263636364,0,0.495327103,1,1,0.960106383,0.05404658,0.541666667,8,org.eclipse.jdt.internal.compiler.flow,0.878669565
org.eclipse.jdt.internal.compiler.impl,1,14,0.272727273,9,20,0.310344828,0.4169279,0.133333333,0.7890625,1,1,0.416666667,0.048979592,0.25,0.388888889,org.eclipse.jdt.internal.compiler.impl,0.381960244
org.eclipse.jdt.internal.compiler.lookup,4,41,0.464285714,11,21,0.34375,0.191964286,0,0.308681672,0.998626374,0.997340426,0.513297872,0.010711699,0.25,0.033333333,org.eclipse.jdt.internal.compiler.lookup,0.976356398
org.eclipse.jdt.internal.compiler.parser,11,18,0.058823529,11,16,0.407407407,0.533769063,0,0.565,0.96026044,0.823529412,0.880319149,0,0.333333333,0,org.eclipse.jdt.internal.compiler.parser,0.805122011
org.eclipse.jdt.internal.compiler.problem,1,10,0.111111111,10,21,0.322580645,0.566308244,0,0.118483412,1,0.997340426,0.877659574,0,0,0,org.eclipse.jdt.internal.compiler.problem,0.397661398
org.eclipse.jdt.internal.compiler.util,1,9,0,5,26,0.161290323,0.838709677,0,0.296296296,1,1,0.666666667,0.076630692,0.071428571,0,org.eclipse.jdt.internal.compiler.util,0.297616063
org.eclipse.jdt.internal.core,15,103,0.131868132,31,16,0.659574468,0.2085574,0,0.820485744,1,0.920792079,0.779255319,0.009708738,0,0,org.eclipse.jdt.internal.core,0.88995404
org.eclipse.jdt.internal.core.builder,3,21,0.105263158,15,2,0.882352941,0.012383901,0,0.912280702,1,0.904761905,0.992021277,0.032879819,0,0,org.eclipse.jdt.internal.core.builder,0.709855771
org.eclipse.jdt.internal.core.eval,0,3,0,11,1,0.916666667,0.083333333,0.904761905,1,1,0.997340426,0.211111111,1,0,0,org.eclipse.jdt.internal.core.eval,0.292893219
org.eclipse.jdt.internal.core.hierarchy,3,9,0.285714286,21,2,0.913043478,0.198757764,0,0.863636364,1,1,0.992021277,0.065432099,0.701492537,0,org.eclipse.jdt.internal.core.hierarchy,0.646446609
org.eclipse.jdt.internal.core.index,0,7,6,5,4,0.555555556,5.555555556,0.421052632,0.1,1,1,1,0,0,0.035185185,org.eclipse.jdt.internal.core.index,0.646446609
org.eclipse.jdt.internal.core.index.impl,1,34,0.307692308,9,5,0.642857143,0.049450549,0,0.78125,1,1,0.35483871,0.020242215,0,0.02173913,org.eclipse.jdt.internal.core.index.impl,0.823364783
org.eclipse.jdt.internal.core.jdom,0,15,0.25,12,2,0.857142857,0.107142857,0,0.922077922,1,0.928571429,0.994680851,0,0.714285714,0,org.eclipse.jdt.internal.core.jdom,0.774089613
org.eclipse.jdt.internal.core.search,3,12,0.333333333,14,6,0.7,0.033333333,0,0.8125,1,1,0.97606383,0.056944444,0.2,0,org.eclipse.jdt.internal.core.search,0.59175171
org.eclipse.jdt.internal.core.search.indexing,1,15,0.25,19,5,0.791666667,0.041666667,0,0.75,1,0.928571429,0.978723404,0.049111111,0.821428571,0,org.eclipse.jdt.internal.core.search.indexing,0.921826404
org.eclipse.jdt.internal.core.search.matching,6,30,0.153846154,24,2,0.923076923,0.076923077,0,0.825842697,1,0.933333333,0.978723404,0.024222222,0.526315789,0,org.eclipse.jdt.internal.core.search.matching,0.904670091
org.eclipse.jdt.internal.core.search.processing,0,2,0,5,5,0.5,0.5,0,0.117647059,0,0.997340426,0.986702128,0.2547598,0.25,0,org.eclipse.jdt.internal.core.search.processing,0.35192593
org.eclipse.jdt.internal.core.util,2,32,0.185185185,8,3,0.727272727,0.087542088,0,0.908450704,0.981432361,0.992021277,0.793103448,0.021679688,0.333333333,0,org.eclipse.jdt.internal.core.util,0.61109127
org.eclipse.jdt.internal.corext,1,3,0,4,21,0.16,0.84,0,0.545454545,1,1,0.333333333,0.211111111,0.5,0,org.eclipse.jdt.internal.corext,0.333333333
org.eclipse.jdt.internal.corext.codemanipulation,9,27,0.173913043,17,17,0.5,0.326086957,0,0.525252525,1,0.791666667,0.853723404,0.025651578,0.75,0.025,org.eclipse.jdt.internal.corext.codemanipulation,0.669199356
org.eclipse.jdt.internal.corext.dom,4,11,0,9,11,0.45,0.55,0,0.0859375,0.949560117,0.818181818,0.909574468,0.061983471,0,0,org.eclipse.jdt.internal.corext.dom,0.437978854
org.eclipse.jdt.internal.corext.javadoc,1,5,0.25,14,9,0.608695652,0.141304348,0,0.416666667,0.85,0.997340426,0.970744681,0,0.5,0,org.eclipse.jdt.internal.corext.javadoc,0.739421347
org.eclipse.jdt.internal.corext.refactoring,1,12,0.090909091,14,19,0.424242424,0.484848485,0,0.395833333,0.925925926,0.75,0.848404255,0.056944444,0.882352941,0,org.eclipse.jdt.internal.corext.refactoring,0.706231285
org.eclipse.jdt.internal.corext.refactoring.base,2,20,1.222222222,10,19,0.344827586,0.567049808,0.140625,0.178861789,0.918072289,0.973404255,0.811170213,0,1,0.06875,org.eclipse.jdt.internal.corext.refactoring.base,0.718513019
org.eclipse.jdt.internal.corext.refactoring.changes,2,29,0.318181818,13,11,0.541666667,0.140151515,0,0.797752809,1,0.517241379,0.877659574,0,1,0,org.eclipse.jdt.internal.corext.refactoring.changes,0.333200756
org.eclipse.jdt.internal.corext.refactoring.code,4,9,0,19,2,0.904761905,0.095238095,0,0.692307692,1,0.222222222,0.989361702,0.075308642,0.166666667,0,org.eclipse.jdt.internal.corext.refactoring.code,0.646446609
org.eclipse.jdt.internal.corext.refactoring.code.flow,1,20,0.111111111,7,1,0.875,0.013888889,0,0.328,1,0.95,0.989361702,0,0,0,org.eclipse.jdt.internal.corext.refactoring.code.flow,0.925567707
org.eclipse.jdt.internal.corext.refactoring.nls,0,8,0,16,2,0.888888889,0.111111111,0,0.863636364,1,0.875,0.986702128,0,0,0,org.eclipse.jdt.internal.corext.refactoring.nls,0.838029114
org.eclipse.jdt.internal.corext.refactoring.nls.changes,0,4,0,10,2,0.833333333,0.166666667,0,1,0.75,0.5,0.994680851,0.2,0,0,org.eclipse.jdt.internal.corext.refactoring.nls.changes,0.333333333
org.eclipse.jdt.internal.corext.refactoring.rename,6,25,0.041666667,19,5,0.791666667,0.166666667,0,0.886597938,1,0.56,0.970744681,0.02768,0.5,0,org.eclipse.jdt.internal.corext.refactoring.rename,0.662532524
org.eclipse.jdt.internal.corext.refactoring.reorg,1,12,0.333333333,19,5,0.791666667,0.125,0.083333333,0.476190476,1,0.6,0.957446809,0,0.5,0.016666667,org.eclipse.jdt.internal.corext.refactoring.reorg,0.488873792
org.eclipse.jdt.internal.corext.refactoring.sef,0,6,0,15,1,0.9375,0.0625,0.875,1,0,0.997340426,0.114444444,0.517241379,0,,org.eclipse.jdt.internal.corext.refactoring.sef,0.532292827
org.eclipse.jdt.internal.corext.refactoring.structure,3,14,0,19,4,0.826086957,0.173913043,0,0.723684211,1,0.571428571,0.981382979,0,0,0,org.eclipse.jdt.internal.corext.refactoring.structure,0.893933983
org.eclipse.jdt.internal.corext.refactoring.surround,0,5,0.25,16,2,0.888888889,0.138888889,0,0.473684211,1,0,0.994680851,0.132,0.428571429,0,org.eclipse.jdt.internal.corext.refactoring.surround,0.292893219
org.eclipse.jdt.internal.corext.refactoring.tagging,0,4,0,4,4,0.5,0.5,0.0625,0,0,1,1,0,0,0.333333333,org.eclipse.jdt.internal.corext.refactoring.tagging,0.292893219
org.eclipse.jdt.internal.corext.refactoring.util,1,10,0.111111111,15,13,0.535714286,0.353174603,0,0.307692308,0.91,0.8,0.89893617,0,0.6,0,org.eclipse.jdt.internal.corext.refactoring.util,0.311979084
org.eclipse.jdt.internal.corext.template,2,14,0.555555556,14,10,0.583333333,0.138888889,0.1,0.253521127,0.976331361,0.994680851,0.885638298,0.048979592,0,0.25,org.eclipse.jdt.internal.corext.template,0.807152696
org.eclipse.jdt.internal.corext.template.java,3,10,0.25,18,5,0.782608696,0.032608696,0,0.827586207,1,0.7,0.97606383,0.083,0.333333333,0,org.eclipse.jdt.internal.corext.template.java,0.6
org.eclipse.jdt.internal.corext.textmanipulation,2,15,0.363636364,16,17,0.484848485,0.151515152,0,0.413043478,0.969791667,0.97606383,0.79787234,0.044888889,0,0.1875,org.eclipse.jdt.internal.corext.textmanipulation,0.899480272
org.eclipse.jdt.internal.corext.util,1,8,0,12,34,0.260869565,0.739130435,0,0.319444444,0.875,0.997340426,0.861702128,0.084375,1,0,org.eclipse.jdt.internal.corext.util,0.521550045
org.eclipse.jdt.internal.debug.core,2,4,0.333333333,10,7,0.588235294,0.078431373,0.083333333,0.4,1,0.666666667,0.97606383,0.1625,0.111111111,0,org.eclipse.jdt.internal.debug.core,0.804384801
org.eclipse.jdt.internal.debug.core.breakpoints,8,9,0.125,12,2,0.857142857,0.017857143,0,0.942528736,1,0.888888889,0.97606383,0.091975309,0,0,org.eclipse.jdt.internal.debug.core.breakpoints,0.646446609
org.eclipse.jdt.internal.debug.core.hcr,4,6,0.2,14,1,0.933333333,0.133333333,0,0.891304348,1,0.833333333,0.997340426,0.136111111,0,0,org.eclipse.jdt.internal.debug.core.hcr,0.333333333
org.eclipse.jdt.internal.debug.core.model,18,27,0.173913043,15,6,0.714285714,0.111801242,0,0.796825397,1,0.961538462,0.95212766,0.025651578,0,0,org.eclipse.jdt.internal.debug.core.model,1
org.eclipse.jdt.internal.debug.eval,0,3,0,12,1,0.923076923,0.076923077,0,0.791666667,1,1,0.997340426,0.211111111,0.306451613,0,org.eclipse.jdt.internal.debug.eval,0.387627564
