Package Name,post,N,A,Ce,Ca,I,D,PkgMod
org.eclipse.core.runtime.content,0,7,2.5,8,15,0.347826087,1.847826087,0.671808363
org.eclipse.core.runtime.jobs,2,11,2.666666667,5,66,0.070422535,1.737089202,0.675466977
org.eclipse.core.runtime.model,0,13,0.181818182,8,3,0.727272727,0.090909091,0.705372175
org.eclipse.core.runtime.preferences,1,10,2.333333333,8,13,0.380952381,1.714285714,0.477259409
org.eclipse.core.variables,0,8,7,3,12,0.2,6.2,0.396779711
org.eclipse.debug.core,7,27,5.75,16,51,0.23880597,4.98880597,0.490065167
org.eclipse.debug.core.model,4,40,39,7,38,0.155555556,38.15555556,0.623615548
org.eclipse.debug.core.sourcelookup,1,10,0,8,10,0.444444444,0.555555556,0.847337676
org.eclipse.debug.core.sourcelookup.containers,2,12,0.333333333,10,7,0.588235294,0.078431373,0.759868881
org.eclipse.debug.internal.core,9,20,0,20,6,0.769230769,0.230769231,0.644304769
org.eclipse.debug.internal.core.memory,4,16,3,8,2,0.8,2.8,0.604715292
org.eclipse.debug.internal.core.sourcelookup,0,5,0,7,2,0.777777778,0.222222222,0.292893219
org.eclipse.debug.internal.core.sourcelookup.containers,0,8,0.142857143,7,1,0.875,0.017857143,1
org.eclipse.debug.internal.ui,10,27,0.125,47,18,0.723076923,0.151923077,0.633986928
org.eclipse.debug.internal.ui.actions,12,86,0.194444444,39,4,0.906976744,0.101421189,0.514523702
org.eclipse.debug.internal.ui.launchConfigurations,6,32,0.032258065,41,3,0.931818182,0.035923754,0.775011479
org.eclipse.debug.internal.ui.preferences,2,9,0.125,22,11,0.666666667,0.208333333,0.879563396
org.eclipse.debug.internal.ui.sourcelookup,5,26,0.04,39,2,0.951219512,0.008780488,0.692562269
org.eclipse.debug.internal.ui.sourcelookup.browsers,0,11,0,23,0,0,1,0.292893219
org.eclipse.debug.internal.ui.stringsubstitution,3,16,0.142857143,22,5,0.814814815,0.042328042,0.687305616
org.eclipse.debug.internal.ui.views,2,8,1,12,7,0.631578947,0.631578947,0.57408229
org.eclipse.debug.internal.ui.views.breakpoints,8,4,0,18,1,0.947368421,0.052631579,0.646446609
org.eclipse.debug.internal.ui.views.console,15,19,0.055555556,35,3,0.921052632,0.023391813,0.357197974
org.eclipse.debug.internal.ui.views.expression,6,6,0.2,26,0,0,0.8,0.76429774
org.eclipse.debug.internal.ui.views.launch,6,10,0.111111111,32,3,0.914285714,0.025396825,0.794519533
org.eclipse.debug.internal.ui.views.memory,9,46,0.4375,30,1,0.967741935,0.405241935,0.757563389
org.eclipse.debug.internal.ui.views.registers,0,4,0,13,0,0,1,1
org.eclipse.debug.internal.ui.views.variables,1,15,0.153846154,28,4,0.875,0.028846154,0.823223305
org.eclipse.debug.ui,8,18,3.5,35,29,0.546875,3.046875,0.697117985
org.eclipse.debug.ui.actions,3,14,0.555555556,18,1,0.947368421,0.502923977,0.753937254
org.eclipse.debug.ui.console,3,7,2.5,13,6,0.684210526,2.184210526,0.736476862
org.eclipse.debug.ui.sourcelookup,0,5,0.25,16,3,0.842105263,0.092105263,0.333333333
org.eclipse.help,0,8,7,9,16,0.36,6.36,0.750156299
org.eclipse.help.browser,0,2,0,1,7,0.125,0.875,0.361123435
org.eclipse.help.internal,0,4,0.333333333,8,13,0.380952381,0.285714286,0.347286048
org.eclipse.help.internal.appserver,1,6,0.2,8,3,0.727272727,0.072727273,1
org.eclipse.help.internal.base,1,9,0.125,23,11,0.676470588,0.198529412,0.88214887
org.eclipse.help.internal.base.util,0,3,0.5,6,6,0.5,0,0.646446609
org.eclipse.help.internal.browser,0,9,0,8,4,0.666666667,0.333333333,0.448014946
org.eclipse.help.internal.browser.macosx,0,2,0,6,0,0,1,0.292893219
org.eclipse.help.internal.context,1,11,0.222222222,11,5,0.6875,0.090277778,0.647233159
org.eclipse.help.internal.model,0,5,0,3,3,0.5,0.5,0.333333333
org.eclipse.help.internal.protocols,1,2,0,8,3,0.727272727,0.272727273,1
org.eclipse.help.internal.search,3,26,0.083333333,19,3,0.863636364,0.053030303,0.629610734
org.eclipse.help.internal.standalone,1,7,0.166666667,7,1,0.875,0.041666667,0.858578644
org.eclipse.help.internal.toc,1,12,0.2,15,8,0.652173913,0.147826087,0.562758341
org.eclipse.help.internal.util,0,3,0,8,7,0.533333333,0.466666667,0.696954237
org.eclipse.help.internal.webapp,0,2,0,6,2,0.75,0.25,1
org.eclipse.help.internal.webapp.data,3,16,0,17,1,0.944444444,0.055555556,0.782428683
org.eclipse.help.internal.webapp.servlet,3,15,0.071428571,17,1,0.944444444,0.015873016,0.607162899
org.eclipse.help.internal.workingset,0,9,0.285714286,16,5,0.761904762,0.047619048,0.74287919
org.eclipse.help.standalone,0,2,0,4,0,0,1,1
org.eclipse.help.ui.browser,0,1,0,8,0,0,1,1
org.eclipse.help.ui.internal,2,13,0.181818182,29,4,0.878787879,0.060606061,0.594953706
org.eclipse.help.ui.internal.browser,1,3,0,17,0,0,1,0.292893219
org.eclipse.help.ui.internal.browser.embedded,0,3,0,15,0,0,1,0.292893219
org.eclipse.help.ui.internal.ide,0,3,0.5,11,2,0.846153846,0.346153846,0.292893219
org.eclipse.help.ui.internal.search,0,11,0,25,0,0,1,0.717157288
org.eclipse.help.ui.internal.util,0,2,0,11,4,0.733333333,0.266666667,0.532292827
org.eclipse.help.ui.internal.workingset,0,5,0,16,1,0.941176471,0.058823529,0.472953723
org.eclipse.jdi,0,3,0.5,5,6,0.454545455,0.045454545,0.646446609
org.eclipse.jdi.hcr,0,6,5,3,4,0.428571429,4.428571429,0.315346803
org.eclipse.jdi.internal,2,48,0.170731707,20,6,0.769230769,0.060037523,0.883201133
org.eclipse.jdi.internal.connect,0,11,0.375,10,2,0.833333333,0.208333333,0.655286843
org.eclipse.jdi.internal.event,0,21,0.166666667,12,2,0.857142857,0.023809524,0.513944448
org.eclipse.jdi.internal.jdwp,0,19,0.117647059,5,4,0.555555556,0.326797386,0.334487735
org.eclipse.jdi.internal.request,0,18,0.125,11,2,0.846153846,0.028846154,0.547144477
org.eclipse.jdi.internal.spy,0,8,0.142857143,6,0,0,0.857142857,0.76429774
org.eclipse.jdt.core,12,59,3.214285714,28,116,0.194444444,2.408730159,0.76207758
org.eclipse.jdt.core.compiler,12,5,1.5,2,58,0.033333333,0.533333333,0.301458118
org.eclipse.jdt.core.dom,44,125,0.179245283,21,39,0.35,0.470754717,0.856880348
org.eclipse.jdt.core.dom.rewrite,1,3,0.5,5,9,0.357142857,0.142857143,0.59175171
org.eclipse.jdt.core.eval,0,3,0,5,4,0.555555556,0.444444444,0.604715292
org.eclipse.jdt.core.formatter,2,2,1,6,17,0.260869565,0.260869565,0.750432901
org.eclipse.jdt.core.jdom,0,12,5,4,1,0.8,4.8,0.646446609
org.eclipse.jdt.core.search,3,21,0.75,19,42,0.31147541,0.06147541,0.939297387
org.eclipse.jdt.core.util,1,41,9.25,5,6,0.454545455,8.704545455,0.716035153
org.eclipse.jdt.debug.core,3,30,29,8,21,0.275862069,28.27586207,0.671739277
org.eclipse.jdt.debug.eval,0,7,6,6,8,0.428571429,5.428571429,0.802357646
org.eclipse.jdt.debug.ui,0,3,0.5,16,7,0.695652174,0.195652174,0.322369073
org.eclipse.jdt.debug.ui.launchConfigurations,1,9,0,32,5,0.864864865,0.135135135,0.35192593
org.eclipse.jdt.internal.antadapter,0,1,0,4,1,0.8,0.2,1
org.eclipse.jdt.internal.codeassist,10,7,2.5,18,4,0.818181818,2.318181818,0.736476862
org.eclipse.jdt.internal.codeassist.complete,7,32,0.032258065,10,1,0.909090909,0.058651026,0.401678877
org.eclipse.jdt.internal.codeassist.impl,6,4,3,11,5,0.6875,2.6875,0.575735931
org.eclipse.jdt.internal.codeassist.select,3,18,0,10,1,0.909090909,0.090909091,0.347286048
org.eclipse.jdt.internal.compiler,11,15,0.875,13,26,0.333333333,0.208333333,0.541319389
org.eclipse.jdt.internal.compiler.ast,42,98,0.180722892,12,20,0.375,0.444277108,0.771663435
org.eclipse.jdt.internal.compiler.batch,3,6,0,11,3,0.785714286,0.214285714,0.387627564
org.eclipse.jdt.internal.compiler.classfmt,1,7,0.4,10,16,0.384615385,0.215384615,0.779205978
org.eclipse.jdt.internal.compiler.codegen,1,16,0.230769231,10,6,0.625,0.144230769,1
org.eclipse.jdt.internal.compiler.env,0,16,15,2,25,0.074074074,14.07407407,0.559772786
org.eclipse.jdt.internal.compiler.flow,1,11,0.1,8,4,0.666666667,0.233333333,0.878669565
org.eclipse.jdt.internal.compiler.impl,0,13,0.3,11,30,0.268292683,0.431707317,0.418813474
org.eclipse.jdt.internal.compiler.lookup,32,42,0.448275862,12,24,0.333333333,0.218390805,0.963692255
org.eclipse.jdt.internal.compiler.parser,31,21,0.166666667,13,20,0.393939394,0.439393939,0.81478241
org.eclipse.jdt.internal.compiler.parser.diagnose,0,3,0,9,1,0.9,0.1,0.292893219
org.eclipse.jdt.internal.compiler.problem,16,10,0.111111111,11,23,0.323529412,0.565359477,0.382045859
org.eclipse.jdt.internal.compiler.util,2,11,0.1,6,21,0.222222222,0.677777778,0.300145788
org.eclipse.jdt.internal.core,25,121,0.141509434,34,16,0.68,0.178490566,0.828044189
org.eclipse.jdt.internal.core.builder,2,23,0.095238095,18,3,0.857142857,0.047619048,0.717157288
org.eclipse.jdt.internal.core.dom.rewrite,2,13,0.083333333,9,2,0.818181818,0.098484848,0.84286516
org.eclipse.jdt.internal.core.eval,0,3,0,12,1,0.923076923,0.076923077,0.292893219
org.eclipse.jdt.internal.core.hierarchy,1,10,0.25,23,3,0.884615385,0.134615385,0.539545724
org.eclipse.jdt.internal.core.index,2,4,0,8,3,0.727272727,0.272727273,1
org.eclipse.jdt.internal.core.jdom,1,15,0.25,11,2,0.846153846,0.096153846,0.774089613
org.eclipse.jdt.internal.core.search,2,11,0.222222222,15,4,0.789473684,0.011695906,0.558058262
org.eclipse.jdt.internal.core.search.indexing,4,16,0.230769231,21,6,0.777777778,0.008547009,0.887135789
org.eclipse.jdt.internal.core.search.matching,18,40,0.111111111,26,3,0.896551724,0.007662835,0.646446609
org.eclipse.jdt.internal.core.search.processing,0,2,0,4,5,0.444444444,0.555555556,0.35192593
org.eclipse.jdt.internal.core.util,14,40,0.111111111,24,16,0.6,0.288888889,0.676185454
org.eclipse.jdt.internal.corext,0,5,0,9,35,0.204545455,0.795454545,0.838375593
org.eclipse.jdt.internal.corext.callhierarchy,0,14,0.272727273,14,1,0.933333333,0.206060606,0.742870261
org.eclipse.jdt.internal.corext.codemanipulation,2,19,0.117647059,32,21,0.603773585,0.278579356,0.829916677
org.eclipse.jdt.internal.corext.dom,5,21,0.105263158,14,25,0.358974359,0.535762483,0.612101423
org.eclipse.jdt.internal.corext.dom.fragments,0,9,0.5,7,1,0.875,0.375,0.797969491
org.eclipse.jdt.internal.corext.javadoc,0,5,0.25,21,9,0.7,0.05,1
org.eclipse.jdt.internal.corext.refactoring,3,10,0.111111111,17,13,0.566666667,0.322222222,0.829916677
org.eclipse.jdt.internal.corext.refactoring.base,0,5,0.666666667,12,12,0.5,0.166666667,0.315346803
org.eclipse.jdt.internal.corext.refactoring.changes,1,31,0.192307692,15,10,0.6,0.207692308,0.392749259
org.eclipse.jdt.internal.corext.refactoring.code,5,26,0.04,30,4,0.882352941,0.077647059,0.670017564
org.eclipse.jdt.internal.corext.refactoring.code.flow,0,20,0.111111111,6,2,0.75,0.138888889,0.925567707
org.eclipse.jdt.internal.corext.refactoring.nls,1,17,0,30,5,0.857142857,0.142857143,0.619941525
org.eclipse.jdt.internal.corext.refactoring.nls.changes,0,4,0,11,4,0.733333333,0.266666667,0.844097609
org.eclipse.jdt.internal.corext.refactoring.participants,0,5,0,10,3,0.769230769,0.230769231,0.333333333
org.eclipse.jdt.internal.corext.refactoring.rename,1,22,0.1,23,7,0.766666667,0.133333333,0.878594773
org.eclipse.jdt.internal.corext.refactoring.reorg,3,26,0.625,28,8,0.777777778,0.402777778,0.909476031
org.eclipse.jdt.internal.corext.refactoring.sef,2,2,0,21,1,0.954545455,0.045454545,1
org.eclipse.jdt.internal.corext.refactoring.structure,12,24,0.043478261,33,6,0.846153846,0.110367893,0.74287919
org.eclipse.jdt.internal.corext.refactoring.surround,0,5,0.25,21,2,0.913043478,0.163043478,0.646446609
org.eclipse.jdt.internal.corext.refactoring.tagging,1,5,0,3,3,0.5,0.5,1
org.eclipse.jdt.internal.corext.refactoring.typeconstraints,0,23,0.277777778,9,2,0.818181818,0.095959596,0.880528847
org.eclipse.jdt.internal.corext.refactoring.util,1,13,0.083333333,21,10,0.677419355,0.239247312,0.296437636
org.eclipse.jdt.internal.corext.template.java,0,14,0.166666667,31,9,0.775,0.058333333,0.819307638
org.eclipse.jdt.internal.corext.textmanipulation,0,5,0.25,15,9,0.625,0.125,1
org.eclipse.jdt.internal.corext.util,4,17,0.0625,19,49,0.279411765,0.658088235,0.682179505
org.eclipse.jdt.internal.debug.core,4,5,0.25,12,10,0.545454545,0.204545455,1
org.eclipse.jdt.internal.debug.core.breakpoints,6,11,0.1,15,2,0.882352941,0.017647059,0.858578644
org.eclipse.jdt.internal.debug.core.hcr,5,6,0.2,17,1,0.944444444,0.144444444,0.333333333
org.eclipse.jdt.internal.debug.core.logicalstructures,1,9,0.285714286,5,0,0,0.714285714,0.292893219
org.eclipse.jdt.internal.debug.core.model,11,26,0.238095238,14,9,0.608695652,0.15320911,0.92143258
org.eclipse.jdt.internal.debug.core.refactoring,2,23,0.045454545,12,0,0,0.954545455,0.932656497
org.eclipse.jdt.internal.debug.eval,0,3,0,12,1,0.923076923,0.076923077,0.387627564
org.eclipse.jdt.internal.debug.eval.ast.engine,8,11,0.1,12,2,0.857142857,0.042857143,0.734834957
org.eclipse.jdt.internal.debug.eval.ast.instructions,1,77,0.1,13,1,0.928571429,0.028571429,0.915147186
org.eclipse.jdt.internal.debug.ui,14,55,0.1,60,13,0.821917808,0.078082192,0.722856824
org.eclipse.jdt.internal.debug.ui.actions,13,86,0.146666667,48,9,0.842105263,0.01122807,0.682698012
org.eclipse.jdt.internal.debug.ui.breakpoints,0,5,0,26,1,0.962962963,0.037037037,0.472953723
org.eclipse.jdt.internal.debug.ui.classpath,0,12,0.2,21,2,0.913043478,0.113043478,0.736476862
org.eclipse.jdt.internal.debug.ui.console,2,8,0,17,0,0,1,0.76429774
org.eclipse.jdt.internal.debug.ui.display,1,11,0.1,30,3,0.909090909,0.009090909,0.626159199
org.eclipse.jdt.internal.debug.ui.jres,1,12,0.2,37,2,0.948717949,0.148717949,0.911611652
org.eclipse.jdt.internal.debug.ui.launcher,2,33,0.137931034,46,6,0.884615385,0.022546419,0.702270829
org.eclipse.jdt.internal.debug.ui.monitors,0,16,0.142857143,18,0,0,0.857142857,0.696954237
org.eclipse.jdt.internal.debug.ui.propertypages,4,10,0,30,0,0,1,0.84286516
org.eclipse.jdt.internal.debug.ui.snippeteditor,0,24,0.090909091,58,2,0.966666667,0.057575758,0.833621934
org.eclipse.jdt.internal.debug.ui.sourcelookup,0,6,0,21,0,0,1,0.292893219
org.eclipse.jdt.internal.eval,6,28,0.12,18,2,0.9,0.02,0.673106423
org.eclipse.jdt.internal.formatter,10,9,0,15,5,0.75,0.25,0.434314575
org.eclipse.jdt.internal.formatter.align,2,2,0,2,2,0.5,0.5,0.387627564
org.eclipse.jdt.internal.formatter.old,0,1,0,8,1,0.888888889,0.111111111,0.292893219
org.eclipse.jdt.internal.junit.launcher,2,9,0.285714286,34,2,0.944444444,0.23015873,0.646446609
org.eclipse.jdt.internal.junit.refactoring,1,5,0.25,10,0,0,0.75,1
org.eclipse.jdt.internal.junit.runner,0,3,0,7,2,0.777777778,0.222222222,0.292893219
org.eclipse.jdt.internal.junit.ui,7,36,0.2,54,5,0.915254237,0.115254237,1
org.eclipse.jdt.internal.junit.util,1,10,0.111111111,27,4,0.870967742,0.017921147,0.562996313
org.eclipse.jdt.internal.junit.wizards,0,10,0.25,40,2,0.952380952,0.202380952,0.646446609
org.eclipse.jdt.internal.launching,7,37,0.027777778,26,9,0.742857143,0.229365079,0.80952381
org.eclipse.jdt.internal.launching.macosx,0,5,0,10,0,0,1,0.646446609
org.eclipse.jdt.internal.launching.support,0,1,0,2,0,0,1,1
org.eclipse.jdt.internal.ui,0,24,0.2,41,61,0.401960784,0.398039216,0.46238314
org.eclipse.jdt.internal.ui.actions,0,28,0.166666667,51,18,0.739130435,0.094202899,0.733372088
org.eclipse.jdt.internal.ui.browsing,1,23,0.15,38,4,0.904761905,0.054761905,0.766146413
org.eclipse.jdt.internal.ui.callhierarchy,2,37,0.057142857,45,1,0.97826087,0.035403727,0.867417479
org.eclipse.jdt.internal.ui.compare,3,24,0.090909091,51,3,0.944444444,0.035353535,0.361123435
org.eclipse.jdt.internal.ui.dialogs,3,17,0.0625,38,18,0.678571429,0.258928571,0.302783311
org.eclipse.jdt.internal.ui.dnd,0,8,0.333333333,15,5,0.75,0.083333333,0.434314575
org.eclipse.jdt.internal.ui.filters,1,22,0,23,6,0.793103448,0.206896552,1
org.eclipse.jdt.internal.ui.infoviews,2,7,0.166666667,40,0,0,0.833333333,0.717157288
org.eclipse.jdt.internal.ui.jarpackager,0,18,0.125,43,1,0.977272727,,0.848477118
org.eclipse.jdt.internal.ui.javadocexport,0,16,0.066666667,51,1,0.980769231,0.047435897,0.333333333
org.eclipse.jdt.internal.ui.javaeditor,13,60,0.132075472,66,34,0.66,0.207924528,0.745472358
org.eclipse.jdt.internal.ui.javaeditor.selectionactions,0,7,0.166666667,20,1,0.952380952,0.119047619,0.646446609
org.eclipse.jdt.internal.ui.macbundler,0,10,0.25,20,0,0,0.75,1
org.eclipse.jdt.internal.ui.packageview,1,21,0,42,9,0.823529412,0.176470588,0.944661884
org.eclipse.jdt.internal.ui.preferences,9,51,0.0625,60,21,0.740740741,0.196759259,0.825109364
org.eclipse.jdt.internal.ui.preferences.formatter,4,22,0.1,36,2,0.947368421,0.047368421,0.654370381
org.eclipse.jdt.internal.ui.refactoring,4,40,0.142857143,51,9,0.85,0.007142857,0.532247002
org.eclipse.jdt.internal.ui.refactoring.actions,0,10,0,30,3,0.909090909,0.090909091,0.292893219
org.eclipse.jdt.internal.ui.refactoring.code,0,4,0,27,2,0.931034483,0.068965517,1
org.eclipse.jdt.internal.ui.refactoring.contentassist,1,8,0,24,5,0.827586207,0.172413793,0.307179677
org.eclipse.jdt.internal.ui.refactoring.nls,1,15,0.071428571,37,1,0.973684211,0.045112782,0.35192593
org.eclipse.jdt.internal.ui.refactoring.nls.search,1,16,0,38,0,0,1,0.787867966
org.eclipse.jdt.internal.ui.refactoring.reorg,1,33,0.064516129,41,4,0.911111111,0.02437276,0.602383209
org.eclipse.jdt.internal.ui.refactoring.sef,0,2,0,15,1,0.9375,0.0625,1
org.eclipse.jdt.internal.ui.search,6,76,0.134328358,46,9,0.836363636,0.029308005,0.768126258
org.eclipse.jdt.internal.ui.text,3,44,0.157894737,47,16,0.746031746,0.096073517,0.669701839
org.eclipse.jdt.internal.ui.text.comment,0,17,0.307692308,18,4,0.818181818,0.125874126,0.878669565
org.eclipse.jdt.internal.ui.text.correction,14,50,0.041666667,57,4,0.93442623,0.023907104,0.673106423
org.eclipse.jdt.internal.ui.text.folding,0,6,0,20,3,0.869565217,0.130434783,0.472953723
org.eclipse.jdt.internal.ui.text.java,1,28,0.12,50,10,0.833333333,0.046666667,0.834660113
org.eclipse.jdt.internal.ui.text.java.hover,2,14,0.166666667,35,5,0.875,0.041666667,0.709375139
org.eclipse.jdt.internal.ui.text.javadoc,1,10,0.666666667,24,7,0.774193548,0.440860215,0.757189547
org.eclipse.jdt.internal.ui.text.spelling,1,13,0,25,3,0.892857143,0.107142857,0.57408229
org.eclipse.jdt.internal.ui.text.spelling.engine,0,17,1.428571429,6,2,0.75,1.178571429,1
org.eclipse.jdt.internal.ui.text.template.contentassist,0,9,0,22,7,0.75862069,0.24137931,0.753856272
org.eclipse.jdt.internal.ui.text.template.preferences,0,4,0,12,1,0.923076923,0.076923077,0.292893219
org.eclipse.jdt.internal.ui.typehierarchy,2,29,0.115384615,42,3,0.933333333,0.048717949,0.324645092
org.eclipse.jdt.internal.ui.util,1,19,0.055555556,38,39,0.493506494,0.450937951,0.347286048
org.eclipse.jdt.internal.ui.viewsupport,5,25,0.136363636,29,31,0.483333333,0.38030303,0.510598446
org.eclipse.jdt.internal.ui.wizards,1,22,0.157894737,42,6,0.875,0.032894737,0.934003367
org.eclipse.jdt.internal.ui.wizards.buildpaths,2,37,0.027777778,42,4,0.913043478,0.059178744,0.843397395
org.eclipse.jdt.internal.ui.wizards.dialogfields,0,16,0.333333333,13,6,0.684210526,0.01754386,0.513864088
org.eclipse.jdt.internal.ui.workingsets,0,9,0,30,3,0.909090909,0.090909091,0.543564535
org.eclipse.jdt.junit,0,2,1,2,1,0.666666667,0.666666667,0.292893219
org.eclipse.jdt.launching,3,24,1.666666667,18,25,0.418604651,1.085271318,0.906191685
org.eclipse.jdt.launching.sourcelookup,1,8,0.142857143,17,3,0.85,0.007142857,0.811438192
org.eclipse.jdt.launching.sourcelookup.containers,0,6,0,10,2,0.833333333,0.166666667,0.292893219
org.eclipse.jdt.ui,1,18,0.8,42,59,0.415841584,0.215841584,0.418596989
org.eclipse.jdt.ui.actions,6,86,0.036144578,66,15,0.814814815,0.149040607,0.424932069
